ClientCode,OrderNumber,Label,Enabled,Region,GoogleRef,DefaultLCID,Ville
_TS_CO_etab_21033,874,Agence DOLE ,True,_TS_CO_Department_Jura39,39198,1036,DOLE
_TS_CO_etab_75633,5,Agence DOMONT ,True,_TS_CO_Department_ValdOise95,95199,1036,DOMONT
_TS_CO_etab_66126,61,Agence DOTHEMARE ABYMES ,True,_TS_CO_Department_Guadeloupe971,97101,1036,LES ABYMES
_TS_CO_etab_59084,876,Agence DOUAI GAYANT ,True,_TS_CO_Department_Nord59,59178,1036,DOUAI
_TS_CO_etab_27011,877,Agence DOUARNENEZ ,True,_TS_CO_Department_Finistre29,29046,1036,DOUARNENEZ
_TS_CO_etab_59013,5,Agence DOULLENS ,True,_TS_CO_Department_Somme80,80253,1036,DOULLENS
_TS_CO_etab_75302,879,Agence DOURDAN ,True,_TS_CO_Department_Essonne91,91200,1036,DOURDAN
_TS_CO_etab_34379,16,Agence DRAGUIGNAN ,True,_TS_CO_Department_Var83,83050,1036,DRAGUIGNAN
_TS_CO_etab_75816,6,Agence DRANCY ,True,_TS_CO_Department_SeineSaintDenis93,93029,1036,DRANCY
_TS_CO_etab_35230,25,Agence DREUX ,True,_TS_CO_Department_EureetLoir28,28134,1036,DREUX
_TS_CO_etab_59065,882,Agence DUNKERQUE BAZENNES ,True,_TS_CO_Department_Nord59,59183,1036,DUNKERQUE
_TS_CO_etab_84014,884,Agence ECHIROLLES ,True,_TS_CO_Department_Isre38,38151,1036,ECHIROLLES
_TS_CO_etab_28028,885,Agence ELBEUF ,True,_TS_CO_Department_SeineMaritime76,76231,1036,ELBEUF
_TS_CO_etab_54057,886,Agence EPERNAY ,True,_TS_CO_Department_Marne51,51230,1036,EPERNAY
_TS_CO_etab_68156,6,Agence EPERON ,True,_TS_CO_Department_Runion974,97415,1036,ST PAUL
_TS_CO_etab_54092,887,Agence EPINAL DUTAC ,True,_TS_CO_Department_Vosges88,88160,1036,EPINAL
_TS_CO_etab_54069,890,Agence EPINAL VOIVRE ,True,_TS_CO_Department_Vosges88,88160,1036,EPINAL
_TS_CO_etab_75955,7,Agence EPINAY SUR SEINE ,True,_TS_CO_Department_SeineSaintDenis93,93031,1036,EPINAY SUR SEINE
_TS_CO_etab_75554,6,Agence ERMONT ,True,_TS_CO_Department_ValdOise95,95219,1036,ERMONT
_TS_CO_etab_75305,895,Agence ETAMPES ,True,_TS_CO_Department_Essonne91,91223,1036,ETAMPES
_TS_CO_etab_28032,896,Agence EVREUX BROSSOLETTE ,True,_TS_CO_Department_Eure27,27229,1036,EVREUX
_TS_CO_etab_28030,897,Agence EVREUX DELAUNE ,True,_TS_CO_Department_Eure27,27229,1036,EVREUX
_TS_CO_etab_75403,898,Agence EVRY ,True,_TS_CO_Department_Essonne91,89162,1036,EVRY
_TS_CO_etab_28011,899,Agence FECAMP ,True,_TS_CO_Department_SeineMaritime76,76259,1036,FECAMP
_TS_CO_etab_76014,901,Agence FIGEAC ,True,_TS_CO_Department_Lot46,46102,1036,FIGEAC
_TS_CO_etab_84042,902,Agence FIRMINY ,True,_TS_CO_Department_Loire42,42095,1036,FIRMINY
_TS_CO_etab_84310,903,Agence FIRMINY ,True,_TS_CO_Department_Loire42,42095,1036,FIRMINY
_TS_CO_etab_76003,904,Agence FOIX ,True,_TS_CO_Department_Arige09,9122,1036,FOIX
_TS_CO_etab_84094,907,Agence FONTAINE ,True,_TS_CO_Department_Isre38,38169,1036,FONTAINE
_TS_CO_etab_13931,908,Agence FONTENAY LE COMTE ,True,_TS_CO_Department_Vende85,85092,1036,FONTENAY LE COMTE
_TS_CO_etab_75710,6,Agence FONTENAY SOUS BOIS ,True,_TS_CO_Department_ValdeMarne94,94033,1036,FONTENAY SOUS BOIS
_TS_CO_etab_54075,2,Agence FORBACH CARREFOUR EUROPE ,True,_TS_CO_Department_Moselle57,57227,1036,FORBACH
_TS_CO_etab_54063,3,Agence FORBACH VILLE-HAUTE ,True,_TS_CO_Department_Moselle57,57227,1036,FORBACH
_TS_CO_etab_28017,914,Agence FORGES LES EAUX ,True,_TS_CO_Department_SeineMaritime76,76276,1036,FORGES LES EAUX
_TS_CO_etab_67107,1,Agence FORT DE FRANCE ,True,_TS_CO_Department_Martinique972,97209,1036,FORT DE FRANCE
_TS_CO_etab_27095,2,Agence FOUGERES ,True,_TS_CO_Department_IlleetVilaine35,35115,1036,FOUGERES
_TS_CO_etab_59046,918,Agence FOURMIES ,True,_TS_CO_Department_Nord59,59249,1036,FOURMIES
_TS_CO_etab_59097,919,Agence FOURMIES ,True,_TS_CO_Department_Nord59,59249,1036,FOURMIES
_TS_CO_etab_34269,17,Agence FREJUS ,True,_TS_CO_Department_Var83,83061,1036,FREJUS
_TS_CO_etab_59014,6,Agence FRIVILLE ESCARBOTIN ,True,_TS_CO_Department_Somme80,80368,1036,FRIVILLE ESCARBOTIN
_TS_CO_etab_76041,14,Agence GAILLAC ,True,_TS_CO_Department_Tarn81,81099,1036,GAILLAC
_TS_CO_etab_34028,925,Agence GAP ,True,_TS_CO_Department_HautesAlpes05,5061,1036,GAP
_TS_CO_etab_34359,926,Agence GAP ,True,_TS_CO_Department_HautesAlpes05,5061,1036,GAP
_TS_CO_etab_34236,11,Agence GARDANNE ,True,_TS_CO_Department_BouchesduRhne13,13041,1036,GARDANNE
_TS_CO_etab_75807,7,Agence GARGES LES GONESSE ,True,_TS_CO_Department_ValdOise95,95268,1036,GARGES LES GONESSE
_TS_CO_etab_75813,9,Agence GENNEVILLIERS ,True,_TS_CO_Department_HautsdeSeine92,92036,1036,GENNEVILLIERS
_TS_CO_etab_54080,930,Agence GERARDMER ,True,_TS_CO_Department_Vosges88,88196,1036,GERARDMER
_TS_CO_etab_65131,931,Agence GHISONACCIA ,True,_TS_CO_Department_HauteCorse2b,2B123,1036,GHISONACCIA
